"","city","county","PACE.start"
"1","Downey","Los Angeles",NA
"2","Rancho Palos Verdes","Los Angeles",NA
"3","Alpine","San Diego",NA
"4","alpine","San Diego",NA
"5","ALPINE","San Diego",NA
"6","Chula Vista","San Diego",NA
"7","San Diego","San Diego",NA
"8","Bonita","San Diego",NA
"9","BONITA","San Diego",NA
"10","bonita","San Diego",NA
"11","Boulevard","San Diego",NA
"12","Live Oak Springs","San Diego",NA
"13","Jacumba","San Diego",NA
"14","Campo","San Diego",NA
"15","CAMPO","San Diego",NA
"16","CHULA VISTA","San Diego",NA
"17","Chula vista","San Diego",NA
"18","Descanso","San Diego",NA
"19","DESCANSO","San Diego",NA
"20","Dulzura","San Diego",NA
"21","Guatay","San Diego",NA
"22","Imperial Beach","San Diego",NA
"23","IMPERIAL BEACH","San Diego",NA
"24","Jamul","San Diego",NA
"25","JAMUL","San Diego",NA
"26","La Mesa","San Diego",NA
"27","la mesa","San Diego",NA
"28","LA MESA","San Diego",NA
"29","la Mesa","San Diego",NA
"30","Lemon Grove","San Diego",NA
"31","LEMON GROVE","San Diego",NA
"32","Mount Laguna","San Diego",NA
"33","National City","San Diego",NA
"34","National city","San Diego",NA
"35","Pine Valley","San Diego",NA
"36","Potrero","San Diego",NA
"37","SPRING VALLEY","San Diego",NA
"38","Spring Valley","San Diego",NA
"39","Spring VALLEY","San Diego",NA
"40","Bonsall","San Diego",NA
"41","BONSALL","San Diego",NA
"42","Borrego springs","San Diego",NA
"43","Borrego Springs","San Diego",NA
"44","borego springs","San Diego",NA
"45","Cardiff by the Sea","San Diego",NA
"46","Cardiff","San Diego",NA
"47","Cardiff By The Sea","San Diego",NA
"48","CARDIFF","San Diego",NA
"49","Carlsbad","San Diego",NA
"50","CARLSBAD","San Diego",NA
"51","carlsbad","San Diego",NA
"52","Rancho La Costa","San Diego",NA
"53","Carslabd","San Diego",NA
"54","Carslbad","San Diego",NA
"55","Del Mar","San Diego",NA
"56","Solana Beach","San Diego",NA
"57","DEL MAR","San Diego",NA
"58","el cajon","San Diego",NA
"59","El Cajon","San Diego",NA
"60","EL CAJON","San Diego",NA
"61","El cajon","San Diego",NA
"62","Crest","San Diego",NA
"63","El CAJON","San Diego",NA
"64","Lakeside","San Diego",NA
"65","El Cajon, California","San Diego",NA
"66","Encinitas","San Diego",NA
"67","encinitas","San Diego",NA
"68","Leucadia","San Diego",NA
"69","ENCINITAS","San Diego",NA
"70","Escondido","San Diego",NA
"71","ESCONDIDO","San Diego",NA
"72","Escondio","San Diego",NA
"73","escondido","San Diego",NA
"74","Escondido, CA 92026","San Diego",NA
"75","Fallbrook","San Diego",NA
"76","fallbrook","San Diego",NA
"77","FALLBROOK","San Diego",NA
"78","Fallbrok","San Diego",NA
"79","Rainbow","San Diego",NA
"80","Escondidio","San Diego",NA
"81","Julian","San Diego",NA
"82","La Jolla","San Diego",NA
"83","la jolla","San Diego",NA
"84","LaJolla","San Diego",NA
"85","LA JOLLA","San Diego",NA
"86","La jolla","San Diego",NA
"87","LAKESIDE","San Diego",NA
"88","lakeside","San Diego",NA
"89","OCEANSIDE","San Diego",NA
"90","Oceanside","San Diego",NA
"91","Camp Pendleton","San Diego",NA
"92","oceanside","San Diego",NA
"93","Pala","San Diego",NA
"94","PALA","San Diego",NA
"95","Pauma Valley","San Diego",NA
"96","Poway","San Diego",NA
"97","POWAY","San Diego",NA
"98","poway","San Diego",NA
"99","San Marcos","San Diego",NA
"100","Ramona","San Diego",NA
"101","RAMONA","San Diego",NA
"102","ramona","San Diego",NA
"103","WARNER SPRINGS","San Diego",NA
"104","Ranchita","San Diego",NA
"105","Rancho Santa Fe","San Diego",NA
"106","RANCHO SANTA FE","San Diego",NA
"107","Rancho Sante Fe","San Diego",NA
"108","Ranco Santa Fe","San Diego",NA
"109","san marcos","San Diego",NA
"110","SAN MARCOS","San Diego",NA
"111","Santa Ysabel","San Diego",NA
"112","Santee","San Diego",NA
"113","SANTEE","San Diego",NA
"114","santee","San Diego",NA
"115","SOLANA BEACH","San Diego",NA
"116","San marcos","San Diego",NA
"117","Vista","San Diego",NA
"118","Valley Center","San Diego",NA
"119","VALLEY CENTER","San Diego",NA
"120","valley Center","San Diego",NA
"121","Valley center","San Diego",NA
"122","vista","San Diego",NA
"123","VISTA","San Diego",NA
"124","Warner Springs","San Diego",NA
"125","SAN DIEGO","San Diego",NA
"126","San diego","San Diego",NA
"127","san Diego","San Diego",NA
"128","Point Loma","San Diego",NA
"129","Pacific Beach","San Diego",NA
"130","san diego","San Diego",NA
"131","PACIFIC BEACH","San Diego",NA
"132","Coronado","San Diego",NA
"133","CORONADO","San Diego",NA
"134","San DIego","San Diego",NA
"135","Tierrasanta","San Diego",NA
"136","San Diego`","San Diego",NA
"137","Rancho Bernardo","San Diego",NA
"138","San  Diego","San Diego",NA
"139","Rancho Penasquitos","San Diego",NA
"140","San Clemente","Orange",NA
"141","Carmel Valley","Monterey",NA
"142","SAn Diego","San Diego",NA
"143","San Ysidro","San Diego",NA
"144","SAN YSIDRO","San Diego",NA
"145","Murrieta","Riverside",NA
"146","Laguna Niguel","Orange",NA
"147","Dana Point","Orange",NA
"148","Capistrano Beach","Orange",NA
"149","CAPISTRANO BEACH","Orange",NA
"150","DANA POINT","Orange",NA
"151","Laguna Hills","Orange",NA
"152","Aliso Viejo","Orange",NA
"153","South Laguna","Orange",NA
"154","Laguna Beach","Orange",NA
"155","laguna Beach","Orange",NA
"156","LAGUNA HILLS","Orange",NA
"157","San Clamente","Orange",NA
"158","san clemente","Orange",NA
"159","SAN CLEMENTE","Orange",NA
"160","San Juan Capistrano","Orange",NA
"161","SAN JUAN CAPISTRANO","Orange",NA
"162","san juan capistrano","Orange",NA
"163","LAGUNA NIGUEL","Orange",NA
"164","Trabuco Canyon","Orange",NA
"165","Coto De Caza","Orange",NA
"166","Coto de Caza","Orange",NA
"167","COTO DE CAZA","Orange",NA
"168","Coto De Casa","Orange",NA
"169","LAS FLORES","Orange",NA
"170","Rancho Santa Margarita","Orange",NA
"171","Las Flores","Orange",NA
"172","Santa Margarita","San Luis Obispo",NA
"173","RANCHO SANTA MARGARITA","Orange",NA
"174","Mission Viejo","Orange",NA
"175","MISSION VIEJO","Orange",NA
"176","Ladera Ranch","Orange",NA
"177","LADERA RANCH","Orange",NA
"178","Ladera ranch","Orange",NA
"179","El Sobrante","Contra Costa",NA
"180","Rohnert Park","Sonoma","2009-05-01"
"181","Gilroy","Santa Clara",NA
"182","Santa Cruz","Santa Cruz",NA
"183","Santa Rosa","Sonoma","2009-05-01"
"184","Cloverdale","Sonoma","2009-05-01"
"185","Chico","Butte",NA
"186","Mcfarland","Kern",NA
"187","BRENTWOOD","Los Angeles",NA
"188","Fresno","Fresno",NA
"189","Garden Grove","Orange",NA
"190","Santa Barbara","Santa Barbara",NA
"191","Arvin","Kern",NA
"192","Avenal","Kings",NA
"193","buttonwillow","Kern",NA
"194","Buttonwillow","Kern",NA
"195","Coalinga","Fresno",NA
"196","COALINGA","Fresno",NA
"197","Corcoran","Kings",NA
"198","CORCORAN","Kings",NA
"199","Edison","Kern",NA
"200","HANFORD","Kings",NA
"201","Hanford","Kings",NA
"202","Kettleman City","Kings",NA
"203","Lamont","Kern",NA
"204","Laton","Fresno",NA
"205","LATON","Fresno",NA
"206","Lemoore","Kings",NA
"207","LEMOORE","Kings",NA
"208","Lemooore","Kings",NA
"209","LOST HILLS","Kern",NA
"210","Lost Hills","Kern",NA
"211","Bakersfield","Kern",NA
"212","McFarland","Kern",NA
"213","Mc Farland","Kern",NA
"214","Maricopa","Kern",NA
"215","Shafter","Kern",NA
"216","BAKERSFIELD","Kern",NA
"217","SHAFTER","Kern",NA
"218","bakersfield","Kern",NA
"219","Stratford","Kings",NA
"220","Taft","Kern",NA
"221","TAFT","Kern",NA
"222","Tupman","Kern",NA
"223","Wasco","Kern",NA
"224","WASCO","Kern",NA
"225","Woodlake","Tulare",NA
"226","Visalia","Tulare",NA
"227","Bakesfield","Kern",NA
"228","San Luis Obispo","San Luis Obispo",NA
"229","SAN LUIS OBISPO","San Luis Obispo",NA
"230","San Luis Obisop","San Luis Obispo",NA
"231","Los Osos","San Luis Obispo",NA
"232","LOS OSOS","San Luis Obispo",NA
"233","Arroyo Grande","San Luis Obispo",NA
"234","Pismo Beach","San Luis Obispo",NA
"235","ARROYO GRANDE","San Luis Obispo",NA
"236","Atascadero","San Luis Obispo",NA
"237","ATASCADERO","San Luis Obispo",NA
"238","atascadero","San Luis Obispo",NA
"239","Moro Bay","San Luis Obispo",NA
"240","6355 SAN GABRIEL RD LOT 3","San Luis Obispo",NA
"241","AVILA BEACH","San Luis Obispo",NA
"242","Bradley","Monterey",NA
"243","BRADLEY","Monterey",NA
"244","Buellton","Santa Barbara",NA
"245","Cambria","San Luis Obispo",NA
"246","cambria","San Luis Obispo",NA
"247","Cayucos","San Luis Obispo",NA
"248","cayucos","San Luis Obispo",NA
"249","CAYUCOS","San Luis Obispo",NA
"250","Creston","San Luis Obispo",NA
"251","Grover Beach","San Luis Obispo",NA
"252","Harmony","San Luis Obispo",NA
"253","Lompoc","Santa Barbara",NA
"254","LOMPOC","Santa Barbara",NA
"255","Los Alamos","Santa Barbara",NA
"256","LOS ALAMOS","Santa Barbara",NA
"257","Los Olivos","Santa Barbara",NA
"258","Morro Bay","San Luis Obispo",NA
"259","MORRO BAY","San Luis Obispo",NA
"260","NIPOMO","San Luis Obispo",NA
"261","Nipomo","San Luis Obispo",NA
"262","Oceano","San Luis Obispo",NA
"263","PASO ROBLES","San Luis Obispo",NA
"264","Paso Robles","San Luis Obispo",NA
"265","Paso Rolbes","San Luis Obispo",NA
"266","San Miguel","San Luis Obispo",NA
"267","SAN MIGUEL","San Luis Obispo",NA
"268","California Valley","San Luis Obispo",NA
"269","Santa Maria","Santa Barbara",NA
"270","SANTA MARIA","Santa Barbara",NA
"271","Orcutt","Santa Barbara",NA
"272","Santa Ynez","Santa Barbara",NA
"273","SANTA YNEZ","Santa Barbara",NA
"274","SHANDON","San Luis Obispo",NA
"275","Cholame","San Luis Obispo",NA
"276","Solvang","Santa Barbara",NA
"277","Ballard","Santa Barbara",NA
"278","SOLVANG","Santa Barbara",NA
"279","Templeton","San Luis Obispo",NA
"280","TEMPLETON","San Luis Obispo",NA
"281","Keene","Kern",NA
"282","Tehachapi","Kern",NA
"283","Sanger","Fresno",NA
"284","AHWAHNEE","Madera",NA
"285","Ahwahnee","Madera",NA
"286","Auberry","Fresno",NA
"287","AUBERRY","Fresno",NA
"288","Badger","Tulare",NA
"289","Burrel","Fresno",NA
"290","Caruthers","Fresno",NA
"291","Chowchilla","Madera",NA
"292","Clovis","Fresno",NA
"293","CLOVIS","Fresno",NA
"294","clovis","Fresno",NA
"295","Clovs","Fresno",NA
"296","Coarsegold","Madera",NA
"297","COARSEGOLD","Madera",NA
"298","Coursegold","Madera",NA
"299","O'Neals","Madera",NA
"300","Cutler","Tulare",NA
"301","Del Rey","Fresno",NA
"302","Dinuba","Tulare",NA
"303","DINUBA","Tulare",NA
"304","Dos Palos","Merced",NA
"305","Dunlap","Fresno",NA
"306","Firebaugh","Fresno",NA
"307","FIREBAUGH","Fresno",NA
"308","Five Points","Fresno",NA
"309","Fowler","Fresno",NA
"310","FOWLER","Fresno",NA
"311","Friant","Fresno",NA
"312","Kerman","Fresno",NA
"313","KERMAN","Fresno",NA
"314","Kingsburg","Fresno",NA
"315","KINGSBURG","Fresno",NA
"316","Kingsburge","Fresno",NA
"317","LOS BANOS","Merced",NA
"318","Los Banos","Merced",NA
"319","Raymond","Madera",NA
"320","Madera","Madera",NA
"321","MADERA","Madera",NA
"322","Mendota","Fresno",NA
"323","Miramonte","Fresno",NA
"324","North Fork","Madera",NA
"325","Northfork","Madera",NA
"326","NORTH FORK","Madera",NA
"327","Oakhurst","Madera",NA
"328","O NEALS","Madera",NA
"329","Oneals","Madera",NA
"330","O Neals","Madera",NA
"331","Orange Cove","Fresno",NA
"332","Orosi","Tulare",NA
"333","Parlier","Fresno",NA
"334","PARLIER","Fresno",NA
"335","FRESNO","Fresno",NA
"336","fresno","Fresno",NA
"337","Prather","Fresno",NA
"338","PRATHER","Fresno",NA
"339","Reedley","Fresno",NA
"340","REEDLEY","Fresno",NA
"341","Riverdale","Fresno",NA
"342","riverdale","Fresno",NA
"343","sanger","Fresno",NA
"344","SANGER","Fresno",NA
"345","SAN JOAQUIN","Fresno",NA
"346","San Joaquin","Fresno",NA
"347","Selma","Fresno",NA
"348","Shaver Lake","Fresno",NA
"349","Sultana","Tulare",NA
"350","Tollhouse","Fresno",NA
"351","Tranquility","Kern",NA
"352","Squaw Valley","Fresno",NA
"353","SQUAW VALLEY","Fresno",NA
"354","Salinas","Monterey",NA
"355","SALINAS","Monterey",NA
"356","Prunedale","Monterey",NA
"357","Pruneda","Monterey",NA
"358","Salians","Monterey",NA
"359","Big Sur","Monterey",NA
"360","Carmel By the Sea","Monterey",NA
"361","Carmel","Monterey",NA
"362","Carmel by the Sea","Monterey",NA
"363","CARMEL","Monterey",NA
"364","CARMEL VALLEY","Monterey",NA
"365","Chualar","Monterey",NA
"366","Gonzales","Monterey",NA
"367","Greenfield","Monterey",NA
"368","King City","Monterey",NA
"369","KING CITY","Monterey",NA
"370","Lockwood","Monterey",NA
"371","Marina","Monterey",NA
"372","MONTEREY","Monterey",NA
"373","Monterey","Monterey",NA
"374","Montery","Monterey",NA
"375","PACIFIC GROVE","Monterey",NA
"376","Pacific Grove","Monterey",NA
"377","Pebble Beach","Monterey",NA
"378","San Lucas","Monterey",NA
"379","Seaside","Monterey",NA
"380","Soledad","Monterey",NA
"381","Spreckels","Monterey",NA
"382","SPRECKELS","Monterey",NA
"383","Belmont","San Mateo",NA
"384","Brisbane","San Mateo",NA
"385","Burlingame","San Mateo",NA
"386","BURLINGAME","San Mateo",NA
"387","Hillsborough","San Mateo",NA
"388","HillsBorough","San Mateo",NA
"389","HILLSBOROUGH","San Mateo",NA
"390","Daly City","San Mateo",NA
"391","DALY CITY","San Mateo",NA
"392","Colma","San Mateo",NA
"393","El Granada","San Mateo",NA
"394","EL GRANADA","San Mateo",NA
"395","Half Moon Bay","San Mateo",NA
"396","HALF MOON BAY","San Mateo",NA
"397","La Honda","San Mateo",NA
"398","La honda","San Mateo",NA
"399","LA HONDA","San Mateo",NA
"400","Loma Mar","San Mateo",NA
"401","Los Altos","Santa Clara",NA
"402","Los Altos Hills","Santa Clara",NA
"403","LOS ALTOS","Santa Clara",NA
"404","LOS ALTOS HILLS","Santa Clara",NA
"405","Los altos","Santa Clara",NA
"406","Menlo Park","San Mateo",NA
"407","MENLO PARK","San Mateo",NA
"408","Atherton","San Mateo",NA
"409","ATHERTON","San Mateo",NA
"410","Portola Valley","San Mateo",NA
"411","PORTOLA VALLEY","San Mateo",NA
"412","MILLBRAE","San Mateo",NA
"413","Millbrae","San Mateo",NA
"414","Mountain View","Santa Clara",NA
"415","MOUNTAIN VIEW","Santa Clara",NA
"416","Montara","San Mateo",NA
"417","Moss Beach","San Mateo",NA
"418","MOSS BEACH","San Mateo",NA
"419","MOUNTAIN VIEW,","Santa Clara",NA
"420","Pacifica","San Mateo",NA
"421","PACIFICA","San Mateo",NA
"422","Pescadero","San Mateo",NA
"423","Redwood City","San Mateo",NA
"424","REDWOOD CITY","San Mateo",NA
"425","WOODSIDE","San Mateo",NA
"426","Woodside","San Mateo",NA
"427","Emerald Hills","San Mateo",NA
"428","Redwood city","San Mateo",NA
"429","Palomar Park","San Mateo",NA
"430","woodside","San Mateo",NA
"431","San Bruno","San Mateo",NA
"432","SAN BRUNO","San Mateo",NA
"433","San Carlos","San Mateo",NA
"434","SAN CARLOS","San Mateo",NA
"435","san carlos","San Mateo",NA
"436","South San Francisco","San Mateo",NA
"437","SOUTH SAN FRANCISCO","San Mateo",NA
"438","Sunnyvale","Santa Clara",NA
"439","SUNNYVALE","Santa Clara",NA
"440","sunnyvale","Santa Clara",NA
"441","Sonora","Santa Clara",NA
"442","Sunyvale","Santa Clara",NA
"443","SAN FRANCISCO","San Francisco",NA
"444","San Francisco","San Francisco",NA
"445","san francisco","San Francisco",NA
"446","San Francsico","San Francisco",NA
"447","San Francusco","San Francisco",NA
"448","san Francisco","San Francisco",NA
"449","San francisco","San Francisco",NA
"450","SAN FRANCISSO","San Francisco",NA
"451","EAST PALO ALTO","Santa Clara",NA
"452","East Palo Alto","Santa Clara",NA
"453","Palo Alto","Santa Clara",NA
"454","Stanford","Santa Clara",NA
"455","San Mateo","San Mateo",NA
"456","SAN MATEO","San Mateo",NA
"457","san mateo","San Mateo",NA
"458","Los Gatos","Santa Clara",NA
"459","Foster City","San Mateo",NA
"460","FOSTER CITY","San Mateo",NA
"461","American Canyon","Napa",NA
"462","AMERICAN CANYON","Napa",NA
"463","Byron","Contra Costa",NA
"464","Discovery Bay","Contra Costa",NA
"465","BYRON","Contra Costa",NA
"466","DISCOVERY BAY","Contra Costa",NA
"467","DANVILLE","Contra Costa",NA
"468","Danville","Contra Costa",NA
"469","Alamo","Contra Costa",NA
"470","ALAMO","Contra Costa",NA
"471","Angwin","Napa",NA
"472","Antioch","Contra Costa",NA
"473","ANTIOCH","Contra Costa",NA
"474","Benicia","Solano",NA
"475","BENICIA","Solano",NA
"476","Bethel Island","Contra Costa",NA
"477","Suisun City","Solano",NA
"478","Brentwood","Los Angeles",NA
"479","Calistoga","Napa",NA
"480","CALISTOGA","Sonoma","2009-05-01"
"481","Clayton","Contra Costa",NA
"482","CLAYTON","Contra Costa",NA
"483","Concord","Contra Costa",NA
"484","CONCORD","Contra Costa",NA
"485","concord","Contra Costa",NA
"486","Pleasant Hill","Contra Costa",NA
"487","PLEASANT HILL","Contra Costa",NA
"488","Crockett","Contra Costa",NA
"489","DIABLO","Contra Costa",NA
"490","Diablo","Contra Costa",NA
"491","El Cerrito","Contra Costa",NA
"492","el cerrito","Contra Costa",NA
"493","EL CERRITO","Contra Costa",NA
"494","Fairfield","Solano",NA
"495","FAIRFIELD","Solano",NA
"496","Fairfiled","Solano",NA
"497","SUISUN CITY","Solano",NA
"498","Fremont","Alameda",NA
"499","FREMONT","Alameda",NA
"500","Hayward","Alameda",NA
"501","HAYWARD","Alameda",NA
"502","hayward","Alameda",NA
"503","Castro Valley","Alameda",NA
"504","CASTRO VALLEY","Alameda",NA
"505","Hercules","Contra Costa",NA
"506","Knightsen","Contra Costa",NA
"507","KNIGHTSEN","Contra Costa",NA
"508","Lafayette","Contra Costa",NA
"509","LAFAYETTE","Contra Costa",NA
"510","lafayette","Contra Costa",NA
"511","LaFayette","Contra Costa",NA
"512","Layfayette","Contra Costa",NA
"513","Livermore","Alameda",NA
"514","LIVERMORE","Alameda",NA
"515","Martinez","Contra Costa",NA
"516","Pacheco","Contra Costa",NA
"517","Briones","Contra Costa",NA
"518","Moraga","Contra Costa",NA
"519","MORAGA","Contra Costa",NA
"520","Pleasanton","Alameda",NA
"521","Napa","Napa",NA
"522","NAPA","Napa",NA
"523","St. Helena","Napa",NA
"524","Lake Berryessa","Napa",NA
"525","napa","Napa",NA
"526","Greenbrae","Marin",NA
"527","Newark","Alameda",NA
"528","NEWARK","Alameda",NA
"529","Oakley","Contra Costa",NA
"530","OAKLEY","Contra Costa",NA
"531","Oakville","Napa",NA
"532","Orinda","Contra Costa",NA
"533","ORINDA","Contra Costa",NA
"534","orinda","Contra Costa",NA
"535","Pinole","Contra Costa",NA
"536","Pincole","Contra Costa",NA
"537","Pittsburg","Contra Costa",NA
"538","Bay Point","Contra Costa",NA
"539","PITTSBURG","Contra Costa",NA
"540","PLEASANTON","Alameda",NA
"541","Pleasonton","Alameda",NA
"542","Pope Valley","Napa",NA
"543","Dublin","Alameda",NA
"544","DUBLIN","Alameda",NA
"545","Rio Vista","Solano",NA
"546","RIO VISTA","Solano",NA
"547","Rodeo","Contra Costa",NA
"548","RODEO","Contra Costa",NA
"549","Rutherford","Napa",NA
"550","Saint Helena","Napa",NA
"551","SAINT HELENA","Napa",NA
"552","Kenwood","Sonoma","2009-05-01"
"553","Deer Park","Napa",NA
"554","San Leandro","Alameda",NA
"555","SAN LEANDRO","Alameda",NA
"556","San Lorenzo","Alameda",NA
"557","SAN RAMON","Contra Costa",NA
"558","San Ramon","Contra Costa",NA
"559","Sunol","Alameda",NA
"560","Union City","Alameda",NA
"561","UNION CITY","Alameda",NA
"562","Vallejo","Napa",NA
"563","VALLEJO","Napa",NA
"564","WALNUT CREEK","Contra Costa",NA
"565","Walnut Creek","Contra Costa",NA
"566","walnut creek","Contra Costa",NA
"567","yountville","Napa",NA
"568","Yountville","Napa",NA
"569","OAKLAND","Alameda",NA
"570","Oakland","Alameda",NA
"571","PIEDMONT","Alameda",NA
"572","Piedmont","Alameda",NA
"573","Emeryville","Alameda",NA
"574","piedmont","Alameda",NA
"575","oakland","Alameda",NA
"576","Sacramento","Sacramento",NA
"577","BERKELEY","Alameda",NA
"578","Berkeley","Alameda",NA
"579","Berkely","Alameda",NA
"580","berkeley","Alameda",NA
"581","Berkley","Alameda",NA
"582","Albany","Alameda",NA
"583","KENSINGTON","Alameda",NA
"584","Kensington","Alameda",NA
"585","ALBANY","Alameda",NA
"586","Richmond","Contra Costa",NA
"587","Point Richmond","Contra Costa",NA
"588","RICHMOND","Contra Costa",NA
"589","EL SOBRANTE","Contra Costa",NA
"590","ElSobrante","Contra Costa",NA
"591","San Pablo","Contra Costa",NA
"592","San Rafael","Marin",NA
"593","SAN RAFAEL","Marin",NA
"594","Kentfield","Marin",NA
"595","KENTFIELD","Marin",NA
"596","Larkspur","Marin",NA
"597","Tiburon","Marin",NA
"598","Belvedere Tiburon","Marin",NA
"599","Belvedere","Marin",NA
"600","BELVEDERE","Marin",NA
"601","TIBURON","Marin",NA
"602","Bodega","Sonoma","2009-05-01"
"603","Bodega Bay","Sonoma","2009-05-01"
"604","BODEGA BAY","Sonoma","2009-05-01"
"605","Bolinas","Marin",NA
"606","BOLINAS","Marin",NA
"607","CORTE MADERA","Marin",NA
"608","Corte Madera","Marin",NA
"609","COTATI","Sonoma","2009-05-01"
"610","ROHNERT PARK","Sonoma","2009-05-01"
"611","Rohnert","Sonoma","2009-05-01"
"612","Dillon Beach","Marin",NA
"613","Fairfax","Marin",NA
"614","Faifax","Marin",NA
"615","Cotati","Sonoma","2009-05-01"
"616","FOREST KNOLLS","Marin",NA
"617","Forest Knolls","Marin",NA
"618","Lagunitas","Marin",NA
"619","Inverness","Marin",NA
"620","INVERNESS","Marin",NA
"621","LARKSPUR","Marin",NA
"622","Marshall","Marin",NA
"623","Mill Valley","Marin",NA
"624","MILL VALLEY","Marin",NA
"625","Stinson Beach","Marin",NA
"626","NOVATO","Marin",NA
"627","Novato","Marin",NA
"628","Nicasio","Marin",NA
"629","Olema","Marin",NA
"630","Penngrove","Sonoma","2009-05-01"
"631","PENNGROVE","Sonoma","2009-05-01"
"632","Pengrove","Sonoma","2009-05-01"
"633","Petaluma","Sonoma","2009-05-01"
"634","PETALUMA","Sonoma","2009-05-01"
"635","Bloomfield","Sonoma","2009-05-01"
"636","petaluma","Sonoma","2009-05-01"
"637","Point Reyes Station","Marin",NA
"638","Pt Reyes Station","Marin",NA
"639","Ross","Marin",NA
"640","ROSS","Marin",NA
"641","San Anselmo","Marin",NA
"642","SAN ANSELMO","Marin",NA
"643","San Geronimo","Marin",NA
"644","San Quentin","Marin",NA
"645","Sausalito","Marin",NA
"646","Muir Beach","Marin",NA
"647","SAUSALITO","Marin",NA
"648","STINSON BEACH","Marin",NA
"649","Tomales","Marin",NA
"650","Valley Ford","Sonoma","2009-05-01"
"651","Woodacre","Marin",NA
"652","APTOS","Santa Cruz",NA
"653","Aptos","Santa Cruz",NA
"654","Alviso","Santa Clara",NA
"655","Aromas","Monterey",NA
"656","AROMAS","Monterey",NA
"657","Watsonville","Santa Cruz",NA
"658","aromas","Monterey",NA
"659","BEN LOMOND","Santa Cruz",NA
"660","Ben Lomond","Santa Cruz",NA
"661","Boulder Creek","Santa Cruz",NA
"662","BOULDER CREEK","Santa Cruz",NA
"663","Brookdale","Santa Cruz",NA
"664","Campbell","Santa Clara",NA
"665","CAMPBELL","Santa Clara",NA
"666","san jose","Santa Clara",NA
"667","San Jose","Santa Clara",NA
"668","Capitola","Santa Cruz",NA
"669","Castroville","Monterey",NA
"670","Cupertino","Santa Clara",NA
"671","CUPERTINO","Santa Clara",NA
"672","Davenport","Santa Cruz",NA
"673","FELTON","Santa Cruz",NA
